fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2
1,bus,0.9357,bus_1,1402,52,1918,476
1,car,0.8438,car_2,1321,312,1398,371
1,car,0.4912,car_3,1231,313,1279,343
1,car,0.3493,car_4,1281,318,1320,343
1,car,0.2970,car_5,1274,315,1312,343
2,bus,0.9329,bus_1,1402,56,1918,471
2,car,0.8148,car_2,1321,312,1397,371
2,car,0.4779,car_3,1231,313,1279,342
2,car,0.3268,car_4,1281,318,1320,343
2,car,0.2859,car_5,1273,315,1309,343
3,bus,0.9363,bus_1,1395,63,1918,467
3,car,0.8185,car_2,1320,312,1395,371
3,car,0.4441,car_3,1230,313,1278,342
3,car,0.3158,car_4,1281,318,1320,343
3,car,0.2733,car_5,1273,315,1311,342
4,bus,0.8995,bus_1,1389,67,1918,466
4,car,0.8380,car_2,1318,312,1395,371
4,car,0.4859,car_3,1230,314,1278,342
4,car,0.2877,car_4,1281,317,1319,343
4,car,0.2764,car_5,1273,315,1311,343
5,bus,0.9297,bus_1,1390,72,1918,464
5,car,0.8167,car_2,1316,312,1394,371
5,car,0.4524,car_3,1232,314,1279,343
5,car,0.2706,car_4,1282,317,1319,343
6,bus,0.9346,bus_1,1392,76,1918,462
6,car,0.8075,car_2,1316,312,1392,370
6,car,0.4081,car_3,1232,313,1278,342
7,bus,0.9344,bus_1,1391,79,1918,461
7,car,0.7959,car_2,1316,312,1390,370
7,car,0.4523,car_3,1232,314,1277,343
8,bus,0.9352,bus_1,1388,84,1918,458
8,car,0.7873,car_2,1314,312,1389,369
8,car,0.4360,car_3,1230,314,1275,343
9,bus,0.9372,bus_1,1386,88,1918,457
9,car,0.7815,car_2,1313,312,1387,368
9,car,0.4244,car_3,1229,315,1274,343
10,bus,0.9405,bus_1,1383,92,1918,457
10,car,0.8051,car_2,1311,312,1386,368
10,car,0.4194,car_3,1229,315,1272,343
10,car,0.2584,car_4,1285,318,1319,345
11,bus,0.9372,bus_1,1382,96,1918,456
11,car,0.8015,car_2,1310,312,1385,367
11,car,0.4037,car_3,1228,315,1270,343
11,car,0.2606,car_4,1289,318,1319,346
12,bus,0.9274,bus_1,1382,97,1918,455
12,car,0.7826,car_2,1309,312,1384,368
12,car,0.4093,car_3,1228,315,1269,343
12,car,0.2738,car_4,1293,318,1319,347
13,bus,0.9316,bus_1,1382,101,1915,453
13,car,0.7880,car_2,1309,312,1382,368
13,car,0.3223,car_3,1228,315,1264,342
13,car,0.2501,car_4,1295,318,1320,348
14,bus,0.9279,bus_1,1381,104,1903,451
14,car,0.7941,car_2,1309,312,1380,368
14,car,0.2780,car_3,1227,315,1262,341
14,car,0.2622,car_4,1294,317,1320,348
15,bus,0.9188,bus_1,1380,107,1889,451
15,car,0.7782,car_2,1309,312,1378,368
15,car,0.3009,car_3,1227,315,1262,341
16,bus,0.9248,bus_1,1378,111,1872,450
16,car,0.7746,car_2,1308,312,1375,367
16,car,0.3066,car_3,1227,315,1262,341
16,car,0.2567,car_4,1294,317,1320,346
17,bus,0.9198,bus_1,1376,114,1866,449
17,car,0.7818,car_2,1308,313,1374,367
17,car,0.3171,car_3,1226,315,1262,341
18,bus,0.9091,bus_1,1376,117,1858,450
18,car,0.7767,car_2,1308,313,1373,366
18,car,0.2719,car_3,1226,315,1262,341
19,bus,0.9154,bus_1,1375,121,1840,448
19,car,0.7697,car_2,1308,313,1372,367
19,car,0.2758,car_3,1227,316,1261,341
20,bus,0.9251,bus_1,1374,125,1826,446
20,car,0.7844,car_2,1308,314,1370,367
20,car,0.3121,car_3,1227,316,1261,341
21,bus,0.9190,bus_1,1372,127,1816,444
21,car,0.7531,car_2,1308,313,1369,368
21,car,0.3405,car_3,1227,317,1261,341
22,bus,0.9186,bus_1,1371,132,1809,442
22,car,0.7302,car_2,1308,313,1368,368
22,car,0.3647,car_3,1226,317,1261,341
23,bus,0.9146,bus_1,1369,135,1808,442
23,car,0.7409,car_2,1308,313,1366,367
23,car,0.3900,car_3,1225,316,1261,341
24,bus,0.9054,bus_1,1369,140,1804,441
24,car,0.7164,car_2,1308,313,1366,366
24,car,0.4076,car_3,1225,318,1261,341
25,bus,0.8878,bus_1,1368,142,1787,441
25,car,0.7036,car_2,1308,312,1366,366
25,car,0.4641,car_3,1225,318,1261,342
26,bus,0.9047,bus_1,1367,143,1771,441
26,car,0.7073,car_2,1308,312,1365,366
26,car,0.4430,car_3,1225,318,1261,342
27,bus,0.8976,bus_1,1366,145,1760,440
27,car,0.6870,car_2,1308,311,1365,365
27,car,0.4509,car_3,1224,318,1261,342
28,bus,0.8993,bus_1,1364,148,1745,437
28,car,0.6731,car_2,1308,310,1364,366
28,car,0.4324,car_3,1224,318,1261,342
29,bus,0.9025,bus_1,1363,150,1736,436
29,car,0.6496,car_2,1307,309,1364,365
29,car,0.4277,car_3,1224,317,1261,342
30,bus,0.8955,bus_1,1363,152,1731,437
30,car,0.6271,car_2,1307,308,1362,365
30,car,0.4014,car_3,1224,317,1261,342
31,bus,0.9033,bus_1,1361,153,1727,433
31,car,0.6199,car_2,1306,307,1359,364
31,car,0.3557,car_3,1225,317,1260,342
32,bus,0.8907,bus_1,1360,155,1726,430
32,car,0.6380,car_2,1305,308,1357,363
32,car,0.2923,car_3,1226,318,1260,341
33,bus,0.9197,bus_1,1360,158,1712,426
33,car,0.6427,car_2,1304,308,1356,363
33,car,0.2602,car_3,1226,317,1260,341
34,bus,0.9261,bus_1,1358,160,1701,426
34,car,0.6257,car_2,1303,308,1355,363
34,car,0.2825,car_3,1227,317,1260,341
35,bus,0.9206,bus_1,1355,161,1694,429
35,car,0.6165,car_2,1302,308,1354,363
36,bus,0.9115,bus_1,1355,163,1691,429
36,car,0.5972,car_2,1302,309,1352,362
36,car,0.3323,car_3,1226,318,1258,342
37,bus,0.9201,bus_1,1355,166,1681,427
37,car,0.6001,car_2,1302,310,1351,362
38,bus,0.9190,bus_1,1354,166,1674,425
38,car,0.5402,car_2,1302,311,1350,362
39,bus,0.9082,bus_1,1352,168,1668,424
39,car,0.4852,car_2,1302,313,1348,362
40,bus,0.9029,bus_1,1351,167,1661,422
40,car,0.4755,car_2,1302,314,1347,361
41,bus,0.9094,bus_1,1349,169,1655,421
41,car,0.4482,car_2,1302,314,1347,362
42,bus,0.9247,bus_1,1349,172,1649,417
42,car,0.5108,car_2,1303,315,1345,360
43,bus,0.9319,bus_1,1346,175,1644,416
43,car,0.4615,car_2,1302,316,1344,360
44,bus,0.9286,bus_1,1344,176,1637,415
44,car,0.5338,car_2,1302,316,1342,361
45,bus,0.9290,bus_1,1343,178,1635,414
