epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.0772,2.14269,6.05921,1.5418,0.00167,0.375,0.0018,0.00085,1.38001,4.1853,1.18711,0.00024,0.00024,0.00024
2,31.2511,1.79578,4.28709,1.15912,0.00278,0.625,0.00826,0.00479,1.37424,3.80247,1.09812,0.000487625,0.000487625,0.000487625
3,44.558,1.73758,3.51842,1.10841,0.00333,0.75,0.42479,0.22879,1.30827,3.61271,0.96734,0.00072238,0.00072238,0.00072238
4,56.2403,1.75507,2.85904,1.13063,0.00389,0.875,0.15915,0.07912,1.5952,3.83216,1.47429,0.000944265,0.000944265,0.000944265
5,69.5832,1.79753,2.83357,1.17546,0.00389,0.875,0.41866,0.14319,1.63635,3.3862,1.24531,0.00115328,0.00115328,0.00115328
6,81.4334,1.87086,2.90103,1.16149,0.00508,0.75,0.12436,0.04574,1.81172,3.70401,1.63174,0.00134943,0.00134943,0.00134943
7,94.6956,1.78877,2.56362,1.14068,0.32015,0.29821,0.38975,0.10358,1.69245,3.56213,1.41927,0.0015327,0.0015327,0.0015327
8,107.743,1.85138,2.83299,1.07341,0.43367,0.20025,0.45582,0.20157,1.68479,3.43964,1.31276,0.0016535,0.0016535,0.0016535
9,119.402,1.98298,2.52313,1.10987,0.43367,0.20025,0.45582,0.20157,1.68479,3.43964,1.31276,0.001604,0.001604,0.001604
10,132.405,1.74318,2.3157,1.12992,0.36381,0.5,0.42638,0.23217,1.56872,2.80837,1.37025,0.0015545,0.0015545,0.0015545
11,145.542,1.68657,2.51405,1.06708,0.45307,0.62162,0.445,0.21665,1.59901,2.80714,1.5919,0.001505,0.001505,0.001505
12,156.977,1.68147,2.32731,1.13768,0.46151,0.5,0.43897,0.21352,1.61878,2.6261,1.37088,0.0014555,0.0014555,0.0014555
